Amounts_due_to_Gov_t_and_SBV,Assets,Balances_with_SBV,Balances_with_and_loans_to_other_credit_institutions,Book_value_per_share_BVPS,CCE,COGS,Cap_Contribution_long_term_inv,Cap_Reserves,Cash_on_hand_gold_silver_gemstones,Cash_ratio,Charter_capital,Current_assets,Debt_to_equity,Deposits_and_borrowings_from_other_credit_institutions,Deposits_from_customers,Derivatives_other_fin_Liabi,Derivatives_other_fin_assets,EPS,E_L,Fin_Expenses,Financial_income,Fixed_assets,GP,G_A,Goodwill,Gross_insurance_operating_profit,Gross_profit_margin,Income_from_inv_in_other_entities,Interest_coverage,Inv_Properties,Inv_properties,Inv_securities,Inventories,L_E,Liabilities,Liabilities_to_assets,Liabilities_to_equity,Loans_adv_and_fin_leases_to_customers,Long_term_inv,Long_term_liabi,Long_term_rece,Mino_Interest,NII,NR,Net_PAT,Net_fee_and_commission_income,Net_other_income,Net_profit_from_sale_of_inv_Securities,Net_profit_from_trading_foreign_currencies_and_gold,Net_profit_from_trading_of_trading_securities,Net_profit_margin,Non_CA,Non_curr_assets,Operating_expense,Operating_profit,Operating_profit_before_provision_for_credit_losses,Other_CA,Other_Non_CR,Other_assets,Other_borrowed_funds,Other_liabi,Other_profit,Owner_s_equity,Owner_s_equity_,PAT_,PAT_for_SPC,PB,PBT,PE,PL_of_inv_In_AJV,PL_of_inv_in_AJV,Profit_from_fin_Act,Profit_from_insurance_operating,Provisions_for_credit_losses,RE,ROA,ROE,Reserves,Selling_expenses,Share_premium,Short_term_inv,Short_term_liabi,Short_term_ratio,Short_term_rece,Ticker,Total_NR,Total_assets,Total_direct_insurance_operating_expenses,Total_profit,Trading_securities,Trailing_EPS,Valuable_papers_issued
,,,,12839.0,21133.0,728717.0,,,,,180000.0,595787.0,172.19,,,,,685.0,759490.0,4828.0,6.0,117172.0,47977.0,14840.0,,,6.18,,4.05,0.0,,,151835.0,,528390.0,69.57,,,0.0,1198.0,,0.0,,776695.0,12787.0,,,,,,1.65,,163703.0,,1064.0,,4921.0,,,,,13686.0,,231100.0,,12324.0,1.91,14749.0,12.28,,0.0,,,,25124.0,1.76,5.26,,27252.0,0.0,0.0,527193.0,1.13,417897.0,CTF_Q4_2017,,759490.0,,,,1995.0,
,,,,13210.0,18733.0,555304.0,,,,,180000.0,477078.0,134.7,,,,,267.0,638615.0,4743.0,6.0,115233.0,41215.0,15453.0,,,6.91,,2.14,0.0,,,157398.0,,400831.0,62.77,,,0.0,725.0,,0.0,,596520.0,4940.0,,,,,,0.83,,161537.0,,-7523.0,,4993.0,,,,,12947.0,,237784.0,,4806.0,1.29,5425.0,12.79,,0.0,,,,35041.0,0.71,2.04,,28548.0,0.0,0.0,400106.0,1.19,295955.0,CTF_Q1_2018,,638615.0,,,,1337.0,
,,,,15797.0,477106.0,272588.0,,,,,442000.0,921041.0,23.81,,,,,783.0,1053179.0,1940.0,4950.0,116722.0,96805.0,40843.0,,,26.21,,19.6,0.0,,,191556.0,,354959.0,33.7,,,0.0,3696.0,,0.0,,369392.0,23645.0,,,,,,6.4,,132139.0,,39939.0,,44000.0,,,,,-3728.0,,698221.0,,31507.0,2.02,36212.0,8.87,,0.0,,,,152393.0,3.02,4.6,,19032.0,10.0,0.0,351263.0,2.62,208379.0,CSV_Q4_2015,,1053179.0,,,,3597.0,
,,,,14603.0,41773.0,264578.0,,,,,130386.0,410270.0,158.38,,,,,0.0,545535.0,6218.0,134.0,131250.0,41224.0,4431.0,,,13.48,,4.71,0.0,,,188908.0,,355137.0,65.1,,,716.0,114684.0,,0.0,,305803.0,20852.0,,,,,,6.82,,135265.0,,22616.0,,3647.0,,,,,-1764.0,,190398.0,,20852.0,0.0,20852.0,0.0,,0.0,,,,52744.0,3.85,11.58,,8094.0,3281.0,0.0,240454.0,1.71,175943.0,DRC_Q4_2006,,545535.0,,,,4726.0,
,,,,12444.0,35801.0,4491.0,,,,,95000.0,42807.0,0.0,,,,,1214.0,125092.0,0.0,360.0,82285.0,12183.0,323.0,,,73.07,,0.0,0.0,,,1021.0,,6872.0,5.49,,,0.0,0.0,,0.0,,16674.0,11534.0,,,,,,69.17,,82285.0,,12220.0,,26.0,,,,,0.0,,118220.0,,11534.0,2.01,12220.0,7.47,,0.0,,,,19018.0,9.67,10.25,,0.0,0.0,0.0,6872.0,6.23,5960.0,DRL_Q4_2012,,125092.0,,,,3347.0,
36516200.0,0.0,6429494.0,34676095.0,15262.0,,,1514272.0,17174049.0,2654333.0,,,,,21902927.0,172936113.0,0.0,10550.0,0.0,,,,2897352.0,,,,,,58598.0,,,0.0,58211526.0,,321339287.0,,,,204562934.0,,,,191650.0,3009681.0,,1219745.0,181426.0,277694.0,-6776.0,67450.0,-54571.0,,,,1678264.0,,1855238.0,,,9963521.0,25253786.0,37027456.0,,,,,1226447.0,1.24,1484775.0,4.04,,,,,370463.0,,0.4,7.31,,,,,,,,CTG_Q4_2009,,321339287.0,,,419209.0,4681.0,10337105.0
,,,,10509.0,9442.0,43480.0,,,,,183997.0,62914.0,25.18,,,,,11.0,278972.0,2145.0,252.0,65443.0,2898.0,1479.0,,,6.25,,1.51,0.0,,,0.0,,85617.0,30.69,,,150081.0,50.0,,0.0,,46379.0,202.0,,,,,,0.44,,216058.0,,-473.0,,5167.0,,,,,1566.0,,193354.0,,202.0,0.0,1093.0,0.0,,0.0,,,,1956.0,0.07,0.1,,0.0,14474.0,5780.0,85567.0,0.74,42525.0,DRH_Q4_2010,,278972.0,,,,48.0,
,,,,10983.0,2589.0,12348.0,,,,,100000.0,165325.0,39.91,,,,,0.0,240355.0,1661.0,141.0,13043.0,3287.0,1291.0,,,21.02,,1.23,0.0,,,147450.0,,130527.0,54.31,,,61943.0,70227.0,,0.0,,15635.0,281.0,,,,,,1.8,,75030.0,,346.0,,2583.0,,,,,28.0,,109828.0,,281.0,0.56,374.0,4.89,,0.0,,,,5444.0,0.11,0.26,,130.0,0.0,0.0,60300.0,2.74,12704.0,DTA_Q4_2010,,240355.0,,,,1248.0,
,,,,10955.0,12830.0,26207.0,,,,,100000.0,185409.0,34.54,,,,,0.0,260511.0,796.0,420.0,13114.0,2361.0,1208.0,,,8.26,,1.54,0.0,,,155784.0,,150964.0,57.95,,,61943.0,55100.0,,0.0,,28568.0,321.0,,,,,,1.12,,75102.0,,355.0,,1524.0,,,,,73.0,,109547.0,,321.0,0.53,428.0,3.76,,0.0,,,,5163.0,0.12,0.28,,423.0,0.0,0.0,95864.0,1.93,15271.0,DTA_Q1_2011,,260511.0,,,,1543.0,
,,,,12936.0,10813.0,705747.0,,,,,180000.0,544039.0,149.58,,,,,145.0,709268.0,6208.0,7.0,113834.0,45585.0,14915.0,,,6.07,,1.49,0.0,,,161884.0,,476424.0,67.17,,,0.0,1255.0,,0.0,,751332.0,2888.0,,,,,,0.38,,165229.0,,-2748.0,,4344.0,,,,,5800.0,,232844.0,,2619.0,1.81,3053.0,19.42,,0.0,,,,30235.0,0.35,1.13,,27216.0,0.0,0.0,475169.0,1.14,366998.0,CTF_Q2_2018,,709268.0,,,,1205.0,
